"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/23/2021","61","PM2.5","San Pablo","06-013-1004","AQS"
"04/24/2021","42","Ozone","Bethel Island","06-013-1002","AQS"
"04/25/2021","49","PM2.5","San Pablo","06-013-1004","AQS"
"04/26/2021","43","Ozone","San Francisco","06-075-0005","AQS"
"04/27/2021","40","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"04/28/2021","53","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"04/29/2021","46","Ozone","Bethel Island","06-013-1002","AQS"
"04/30/2021","41","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/01/2021","43","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/02/2021","60","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/03/2021","66","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/04/2021","65","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/05/2021","67","Ozone","Bethel Island","06-013-1002","AQS"
"05/06/2021","41","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/07/2021","58","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/08/2021","64","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/09/2021","69","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/10/2021","69","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/11/2021","64","Ozone","Livermore","06-001-0007","AQS"
"05/12/2021","54","Ozone","Livermore","06-001-0007","AQS"
"05/13/2021","38","Ozone","Livermore","06-001-0007","AQS"
"05/14/2021","48","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/15/2021","56","PM2.5","San Pablo","06-013-1004","AQS"
"05/16/2021","44","PM2.5","San Pablo","06-013-1004","AQS"
"05/17/2021","37","Ozone","San Francisco","06-075-0005","AQS"
"05/18/2021","51","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/19/2021","53","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/20/2021","40","Ozone","Livermore","06-001-0007","AQS"
"05/21/2021","52","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/22/2021","61","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/23/2021","44","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/24/2021","43","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/25/2021","42","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/26/2021","56","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/27/2021","48","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/28/2021","58","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/29/2021","61","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/30/2021","66","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"05/31/2021","65","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/01/2021","47","PM2.5","Livermore","06-001-0007","AQS"
"06/02/2021","33","Ozone","Livermore","06-001-0007","AQS"
"06/03/2021","40","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/04/2021","54","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/05/2021","60","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/06/2021","65","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/07/2021","52","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/08/2021","37","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/09/2021","33","Ozone","Bethel Island","06-013-1002","AQS"
"06/10/2021","35","Ozone","Bethel Island","06-013-1002","AQS"
"06/11/2021","34","Ozone","Bethel Island","06-013-1002","AQS"
"06/12/2021","27","Ozone","Livermore","06-001-0007","AQS"
"06/13/2021","23","PM2.5","San Pablo","06-013-1004","AQS"
"06/14/2021","32","Ozone","Livermore","06-001-0007","AQS"
"06/15/2021","42","Ozone","Livermore","06-001-0007","AQS"
"06/16/2021","58","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/17/2021","101","Ozone","Livermore","06-001-0007","AQS"
"06/18/2021","151","Ozone","Livermore","06-001-0007","AQS"
"06/19/2021","77","Ozone","Livermore","06-001-0007","AQS"
"06/20/2021","51","Ozone","Livermore","06-001-0007","AQS"
"06/21/2021","37","Ozone","Livermore","06-001-0007","AQS"
"06/22/2021","31","Ozone","Livermore","06-001-0007","AQS"
"06/23/2021","30","Ozone","Livermore","06-001-0007","AQS"
"06/24/2021","33","PM2.5","San Pablo","06-013-1004","AQS"
"06/25/2021","31","Ozone","Livermore","06-001-0007","AQS"
"06/26/2021","37","Ozone","Livermore","06-001-0007","AQS"
"06/27/2021","29","Ozone","Bethel Island","06-013-1002","AQS"
"06/28/2021","28","Ozone","Bethel Island","06-013-1002","AQS"
"06/29/2021","39","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"06/30/2021","31","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/01/2021","34","Ozone","Bethel Island","06-013-1002","AQS"
"07/02/2021","32","Ozone","Bethel Island","06-013-1002","AQS"
"07/03/2021","33","PM2.5","San Pablo","06-013-1004","AQS"
"07/04/2021","53","PM2.5","Oakland","06-001-0009","AQS"
"07/05/2021","38","PM2.5","Livermore","06-001-0007","AQS"
"07/06/2021","34","Ozone","Bethel Island","06-013-1002","AQS"
"07/07/2021","43","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/08/2021","71","Ozone","Livermore","06-001-0007","AQS"
"07/09/2021","77","Ozone","Livermore","06-001-0007","AQS"
"07/10/2021","64","Ozone","Livermore","06-001-0007","AQS"
"07/11/2021","55","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/12/2021","41","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/13/2021","47","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/14/2021","44","Ozone","Livermore","06-001-0007","AQS"
"07/15/2021","31","Ozone","Bethel Island","06-013-1002","AQS"
"07/16/2021","43","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/17/2021","45","Ozone","Livermore","06-001-0007","AQS"
"07/18/2021","54","PM2.5","San Pablo","06-013-1004","AQS"
"07/19/2021","54","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/20/2021","44","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/21/2021","59","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/22/2021","61","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"07/23/2021","67","Ozone","Livermore","06-001-0007","AQS"
"07/24/2021","51","Ozone","Livermore","06-001-0007","AQS"
"07/25/2021","47","Ozone","Concord","06-013-0002","AQS"
"07/26/2021","38","Ozone","Livermore","06-001-0007","AQS"
"07/27/2021","50","Ozone","Livermore","06-001-0007","AQS"
"07/28/2021","67","Ozone","Livermore","06-001-0007","AQS"
"07/29/2021","58","Ozone","Livermore","06-001-0007","AQS"
"07/30/2021","50","Ozone","Livermore","06-001-0007","AQS"
"07/31/2021","40","Ozone","Livermore","06-001-0007","AQS"
"08/01/2021","41","PM2.5","San Pablo","06-013-1004","AQS"
"08/02/2021","48","Ozone","Livermore","06-001-0007","AQS"
"08/03/2021","51","Ozone","Livermore","06-001-0007","AQS"
"08/04/2021","36","Ozone","Livermore","06-001-0007","AQS"
"08/05/2021","31","Ozone","Bethel Island","06-013-1002","AQS"
"08/06/2021","74","PM2.5","Concord","06-013-0002","AQS"
"08/07/2021","35","Ozone","Livermore","06-001-0007","AQS"
"08/08/2021","37","Ozone","Livermore","06-001-0007","AQS"
"08/09/2021","52","PM2.5","San Pablo","06-013-1004","AQS"
"08/10/2021","67","Ozone","Livermore","06-001-0007","AQS"
"08/11/2021","43","Ozone","Livermore","06-001-0007","AQS"
"08/12/2021","50","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"08/13/2021","34","Ozone","Livermore","06-001-0007","AQS"
"08/14/2021","51","PM2.5","Livermore","06-001-0007","AQS"
"08/15/2021","69","PM2.5","Livermore","06-001-0007","AQS"
"08/16/2021","55","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"08/17/2021","54","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"08/18/2021","87","PM2.5","Livermore","06-001-0007","AQS"
"08/19/2021","70","PM2.5","San Pablo","06-013-1004","AQS"
"08/20/2021","74","PM2.5","San Pablo","06-013-1004","AQS"
"08/21/2021","67","PM2.5","San Pablo","06-013-1004","AQS"
"08/22/2021","57","PM2.5","San Pablo","06-013-1004","AQS"
"08/23/2021","54","PM2.5","San Pablo","06-013-1004","AQS"
"08/24/2021","52","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"08/25/2021","55","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"08/26/2021","90","Ozone","Livermore","06-001-0007","AQS"
"08/27/2021","119","PM2.5","Livermore","06-001-0007","AQS"
"08/28/2021","150","Ozone","Bethel Island","06-013-1002","AQS"
"08/29/2021","101","Ozone","Livermore","06-001-0007","AQS"
"08/30/2021","75","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"08/31/2021","59","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"09/01/2021","60","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"09/02/2021","87","PM2.5","San Pablo","06-013-1004","AQS"
"09/03/2021","80","Ozone","Bethel Island","06-013-1002","AQS"
"09/04/2021","101","Ozone","Livermore","06-001-0007","AQS"
"09/05/2021","87","Ozone","Livermore","06-001-0007","AQS"
"09/06/2021","105","Ozone","Livermore","06-001-0007","AQS"
"09/07/2021","55","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"09/08/2021","58","Ozone","Livermore","06-001-0007","AQS"
"09/09/2021","42","Ozone","Livermore","06-001-0007","AQS"
"09/10/2021","32","Ozone","Livermore","06-001-0007","AQS"
"09/11/2021","45","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"09/12/2021","49","PM2.5","Laney College","06-001-0012","AQS"
"09/13/2021","60","PM2.5","Laney College","06-001-0012","AQS"
"09/14/2021","67","Ozone","Livermore","06-001-0007","AQS"
"09/15/2021","58","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"09/16/2021","64","PM2.5","San Pablo","06-013-1004","AQS"
"09/17/2021","69","PM2.5","San Pablo","06-013-1004","AQS"
"09/18/2021","60","PM2.5","San Pablo","06-013-1004","AQS"
"09/19/2021","40","Ozone","Bethel Island","06-013-1002","AQS"
"09/20/2021","46","Ozone","Hayward","06-001-2001","AQS"
"09/21/2021","129","Ozone","Bethel Island","06-013-1002","AQS"
"09/22/2021","44","Ozone","Livermore","06-001-0007","AQS"
"09/23/2021","51","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"09/24/2021","61","Ozone","Bethel Island","06-013-1002","AQS"
"09/25/2021","47","PM2.5","San Pablo","06-013-1004","AQS"
"09/26/2021","39","Ozone","Bethel Island","06-013-1002","AQS"
"09/27/2021","35","Ozone","San Pablo","06-013-1004","AQS"
"09/28/2021","39","Ozone","Livermore","06-001-0007","AQS"
"09/29/2021","47","PM2.5","Berkeley- Aquatic Park","06-001-0013","AQS"
"09/30/2021","54","Ozone","Bethel Island","06-013-1002","AQS"
"10/01/2021","97","Ozone","Livermore","06-001-0007","AQS"
"10/02/2021","115","Ozone","Hayward","06-001-2001","AQS"
"10/03/2021","105","Ozone","Hayward","06-001-2001","AQS"
"10/04/2021","97","Ozone","Livermore","06-001-0007","AQS"
"10/05/2021","45","Ozone","Livermore","06-001-0007","AQS"
"10/06/2021","35","Ozone","Bethel Island","06-013-1002","AQS"
"10/07/2021","41","PM2.5","San Rafael","06-041-0001","AQS"
"10/08/2021","35","Ozone","Bethel Island","06-013-1002","AQS"
"10/09/2021","43","Ozone","Bethel Island","06-013-1002","AQS"
"10/10/2021","48","PM2.5","San Pablo","06-013-1004","AQS"
"10/11/2021","36","Ozone","San Pablo","06-013-1004","AQS"
"10/12/2021","35","Ozone","Bethel Island","06-013-1002","AQS"
"10/13/2021","35","Ozone","Bethel Island","06-013-1002","AQS"
"10/14/2021","37","Ozone","Bethel Island","06-013-1002","AQS"
"10/15/2021","47","Ozone","Bethel Island","06-013-1002","AQS"
"10/16/2021","74","Ozone","Livermore","06-001-0007","AQS"
"10/17/2021","45","Ozone","Bethel Island","06-013-1002","AQS"
"10/18/2021","40","Ozone","Bethel Island","06-013-1002","AQS"
"10/19/2021","41","Ozone","Bethel Island","06-013-1002","AQS"
"10/20/2021","32","Ozone","Hayward","06-001-2001","AQS"
"10/21/2021","27","Ozone","San Pablo","06-013-1004","AQS"
"10/22/2021","37","Ozone","Bethel Island","06-013-1002","AQS"
"10/23/2021","41","PM2.5","San Pablo","06-013-1004","AQS"
"10/24/2021","39","Ozone","San Pablo","06-013-1004","AQS"
"10/25/2021","45","PM2.5","Point Reyes NS Ranger Station","06-041-0002","AQS"
"10/26/2021","38","PM2.5","San Pablo","06-013-1004","AQS"
"10/27/2021","31","PM2.5","Laney College","06-001-0012","AQS"
"10/28/2021","37","PM2.5","San Francisco","06-075-0005","AQS"
"10/29/2021","45","PM2.5","Laney College","06-001-0012","AQS"
"10/30/2021","36","PM2.5","San Pablo","06-013-1004","AQS"
"10/31/2021","33","Ozone","Bethel Island","06-013-1002","AQS"
"11/01/2021","26","Ozone","Hayward","06-001-2001","AQS"
"11/02/2021","32","PM2.5","Livermore","06-001-0007","AQS"
"11/03/2021","38","PM2.5","Laney College","06-001-0012","AQS"
"11/04/2021","38","PM2.5","Laney College","06-001-0012","AQS"
"11/05/2021","35","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"11/06/2021","32","Ozone","San Pablo","06-013-1004","AQS"
"11/07/2021","36","Ozone","Bethel Island","06-013-1002","AQS"
"11/08/2021","37","NO2","Laney College","06-001-0012","AQS"
"11/09/2021","34","Ozone","Bethel Island","06-013-1002","AQS"
"11/10/2021","32","Ozone","San Pablo","06-013-1004","AQS"
"11/11/2021","45","PM2.5","Laney College","06-001-0012","AQS"
"11/12/2021","59","PM2.5","Concord","06-013-0002","AQS"
"11/13/2021","60","PM2.5","San Francisco","06-075-0005","AQS"
"11/14/2021","63","PM2.5","San Francisco","06-075-0005","AQS"
"11/15/2021","69","PM2.5","Oakland West","06-001-0011","AQS"
"11/16/2021","53","PM2.5","Livermore","06-001-0007","AQS"
"11/17/2021","51","PM2.5","Livermore","06-001-0007","AQS"
"11/18/2021","72","PM2.5","Concord","06-013-0002","AQS"
"11/19/2021","59","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"11/20/2021","38","PM2.5","San Francisco","06-075-0005","AQS"
"11/21/2021","56","PM2.5","Livermore","06-001-0007","AQS"
"11/22/2021","64","PM2.5","Livermore","06-001-0007","AQS"
"11/23/2021","58","PM2.5","Laney College","06-001-0012","AQS"
"11/24/2021","38","NO2","San Francisco","06-075-0005","AQS"
"11/25/2021","66","PM2.5","Concord","06-013-0002","AQS"
"11/26/2021","72","PM2.5","Laney College","06-001-0012","AQS"
"11/27/2021","62","PM2.5","Oakland West","06-001-0011","AQS"
"11/28/2021","74","PM2.5","Livermore","06-001-0007","AQS"
"11/29/2021","65","PM2.5","Oakland West","06-001-0011","AQS"
"11/30/2021","54","PM2.5","Laney College","06-001-0012","AQS"
"12/01/2021","77","PM2.5","Livermore","06-001-0007","AQS"
"12/02/2021","79","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"12/03/2021","91","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"12/04/2021","62","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"12/05/2021","60","PM2.5","Laney College","06-001-0012","AQS"
"12/06/2021","84","PM2.5","San Francisco","06-075-0005","AQS"
"12/07/2021","56","PM2.5","San Francisco","06-075-0005","AQS"
"12/08/2021","47","PM2.5","Concord","06-013-0002","AQS"
"12/09/2021","31","Ozone","San Pablo","06-013-1004","AQS"
"12/10/2021","35","PM2.5","Livermore","06-001-0007","AQS"
"12/11/2021","46","PM2.5","San Pablo","06-013-1004","AQS"
"12/12/2021","34","Ozone","Livermore","06-001-0007","AQS"
"12/13/2021","37","Ozone","San Pablo","06-013-1004","AQS"
"12/14/2021","34","Ozone","San Pablo","06-013-1004","AQS"
"12/15/2021","34","Ozone","San Francisco","06-075-0005","AQS"
"12/16/2021","33","Ozone","San Pablo","06-013-1004","AQS"
"12/17/2021","32","NO2","Oakland West","06-001-0011","AQS"
"12/18/2021","51","PM2.5","San Pablo","06-013-1004","AQS"
"12/19/2021","65","PM2.5","San Rafael","06-041-0001","AQS"
"12/20/2021","57","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"12/21/2021","68","PM2.5","Concord","06-013-0002","AQS"
"12/22/2021","57","PM2.5","Concord","06-013-0002","AQS"
"12/23/2021","31","Ozone","Hayward","06-001-2001","AQS"
"12/24/2021","37","PM2.5","San Rafael","06-041-0001","AQS"
"12/25/2021","38","Ozone","San Pablo","06-013-1004","AQS"
"12/26/2021","37","Ozone","San Pablo","06-013-1004","AQS"
"12/27/2021","37","Ozone","Bethel Island","06-013-1002","AQS"
"12/28/2021","34","Ozone","Hayward","06-001-2001","AQS"
"12/29/2021","29","Ozone","Bethel Island","06-013-1002","AQS"
"12/30/2021","28","Ozone","Bethel Island","06-013-1002","AQS"
"12/31/2021","52","PM2.5","Livermore","06-001-0007","AQS"
"01/01/2022","53","PM2.5","Oakland","06-001-0009","AQS"
"01/02/2022","55","PM2.5","Livermore","06-001-0007","AQS"
"01/03/2022","39","PM2.5","Concord","06-013-0002","AQS"
"01/04/2022","30","Ozone","Livermore","06-001-0007","AQS"
"01/05/2022","29","Ozone","Hayward","06-001-2001","AQS"
"01/06/2022","33","PM2.5","Oakland","06-001-0009","AQS"
"01/07/2022","32","Ozone","San Francisco","06-075-0005","AQS"
"01/08/2022","32","PM2.5","Oakland West","06-001-0011","AQS"
"01/09/2022","54","PM2.5","Livermore","06-001-0007","AQS"
"01/10/2022","56","PM2.5","Laney College","06-001-0012","AQS"
"01/11/2022","53","PM2.5","Laney College","06-001-0012","AQS"
"01/12/2022","77","PM2.5","Laney College","06-001-0012","AQS"
"01/13/2022","85","PM2.5","Oakland West","06-001-0011","AQS"
"01/14/2022","55","PM2.5","Oakland West","06-001-0011","AQS"
"01/15/2022","60","PM2.5","Redwood City","06-081-1001","AQS"
"01/16/2022","76","PM2.5","Livermore","06-001-0007","AQS"
"01/17/2022","67","PM2.5","Redwood City","06-081-1001","AQS"
"01/18/2022","49","PM2.5","Livermore","06-001-0007","AQS"
"01/19/2022","53","PM2.5","Laney College","06-001-0012","AQS"
"01/20/2022","56","PM2.5","Oakland","06-001-0009","AQS"
"01/21/2022","39","PM2.5","Oakland","06-001-0009","AQS"
"01/22/2022","37","Ozone","San Pablo","06-013-1004","AQS"
"01/23/2022","71","PM2.5","Concord","06-013-0002","AQS"
"01/24/2022","62","PM2.5","Oakland West","06-001-0011","AQS"
"01/25/2022","54","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/26/2022","69","PM2.5","Oakland West","06-001-0011","AQS"
"01/27/2022","63","PM2.5","Oakland West","06-001-0011","AQS"
"01/28/2022","67","PM2.5","Oakland West","06-001-0011","AQS"
"01/29/2022","69","PM2.5","Redwood City","06-081-1001","AQS"
"01/30/2022","57","PM2.5","Redwood City","06-081-1001","AQS"
"01/31/2022","58","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/01/2022","40","Ozone","San Pablo","06-013-1004","AQS"
"02/02/2022","39","Ozone","San Pablo","06-013-1004","AQS"
"02/03/2022","41","NO2","Oakland West","06-001-0011","AQS"
"02/04/2022","72","PM2.5","Laney College","06-001-0012","AQS"
"02/05/2022","78","PM2.5","Oakland West","06-001-0011","AQS"
"02/06/2022","56","PM2.5","Redwood City","06-081-1001","AQS"
"02/07/2022","60","PM2.5","Oakland","06-001-0009","AQS"
"02/08/2022","62","PM2.5","Oakland West","06-001-0011","AQS"
"02/09/2022","56","PM2.5","Oakland West","06-001-0011","AQS"
"02/10/2022","48","PM2.5","Oakland West","06-001-0011","AQS"
"02/11/2022","55","PM2.5","Laney College","06-001-0012","AQS"
"02/12/2022","67","PM2.5","Redwood City","06-081-1001","AQS"
"02/13/2022","65","PM2.5","Redwood City","06-081-1001","AQS"
"02/14/2022","43","PM2.5","Redwood City","06-081-1001","AQS"
"02/15/2022","36","Ozone","Hayward","06-001-2001","AQS"
"02/16/2022","46","PM2.5","Point Reyes NS Ranger Station","06-041-0002","AQS"
"02/17/2022","37","Ozone","Livermore","06-001-0007","AQS"
"02/18/2022","47","PM2.5","Livermore","06-001-0007","AQS"
"02/19/2022","56","PM2.5","Oakland","06-001-0009","AQS"
"02/20/2022","39","PM2.5","Concord","06-013-0002","AQS"
"02/21/2022","36","Ozone","Hayward","06-001-2001","AQS"
"02/22/2022","36","Ozone","Hayward","06-001-2001","AQS"
"02/23/2022","34","Ozone","Bethel Island","06-013-1002","AQS"
"02/24/2022","35","PM2.5","San Pablo","06-013-1004","AQS"
"02/25/2022","40","PM2.5","Oakland","06-001-0009","AQS"
"02/26/2022","52","PM2.5","Oakland West","06-001-0011","AQS"
"02/27/2022","59","PM2.5","Laney College","06-001-0012","AQS"
"02/28/2022","45","PM2.5","Laney College","06-001-0012","AQS"
"03/01/2022","45","PM2.5","Laney College","06-001-0012","AQS"
"03/02/2022","37","PM2.5","Laney College","06-001-0012","AQS"
"03/03/2022","33","PM2.5","Laney College","06-001-0012","AQS"
"03/04/2022","42","Ozone","Bethel Island","06-013-1002","AQS"
"03/05/2022","37","Ozone","Redwood City","06-081-1001","AQS"
"03/06/2022","48","PM2.5","San Pablo","06-013-1004","AQS"
"03/07/2022","42","Ozone","San Rafael","06-041-0001","AQS"
"03/08/2022","42","Ozone","Bethel Island","06-013-1002","AQS"
"03/09/2022","51","PM2.5","Laney College","06-001-0012","AQS"
"03/10/2022","42","Ozone","Hayward","06-001-2001","AQS"
"03/11/2022","42","Ozone","Livermore","06-001-0007","AQS"
"03/12/2022","44","Ozone","Bethel Island","06-013-1002","AQS"
"03/13/2022","45","PM2.5","San Pablo","06-013-1004","AQS"
"03/14/2022","44","PM2.5","San Pablo","06-013-1004","AQS"
"03/15/2022","32","Ozone","Hayward","06-001-2001","AQS"
"03/16/2022","39","PM2.5","San Francisco","06-075-0005","AQS"
"03/17/2022","40","PM2.5","San Pablo","06-013-1004","AQS"
"03/18/2022","43","PM2.5","San Pablo","06-013-1004","AQS"
"03/19/2022","41","PM2.5","San Pablo","06-013-1004","AQS"
"03/20/2022","41","Ozone","Bethel Island","06-013-1002","AQS"
"03/21/2022","50","PM2.5","Laney College","06-001-0012","AQS"
"03/22/2022","46","PM2.5","Oakland West","06-001-0011","AQS"
"03/23/2022","32","Ozone","San Francisco","06-075-0005","AQS"
"03/24/2022","38","Ozone","Bethel Island","06-013-1002","AQS"
"03/25/2022","43","Ozone","Livermore","06-001-0007","AQS"
"03/26/2022","33","Ozone","Bethel Island","06-013-1002","AQS"
"03/27/2022","37","Ozone","Hayward","06-001-2001","AQS"
"03/28/2022","41","Ozone","Hayward","06-001-2001","AQS"
"03/29/2022","31","Ozone","Redwood City","06-081-1001","AQS"
"03/30/2022","35","Ozone","Redwood City","06-081-1001","AQS"
"03/31/2022","47","PM2.5","San Francisco","06-075-0005","AQS"
"04/01/2022","56","PM2.5","San Francisco","06-075-0005","AQS"
"04/02/2022","52","PM2.5","Oakland","06-001-0009","AQS"
"04/03/2022","53","PM2.5","San Francisco","06-075-0005","AQS"
"04/04/2022","38","Ozone","Bethel Island","06-013-1002","AQS"
"04/05/2022","57","PM2.5","Point Reyes NS Ranger Station","06-041-0002","AQS"
"04/06/2022","51","PM2.5","Oakland West","06-001-0011","AQS"
"04/07/2022","105","Ozone","Hayward","06-001-2001","AQS"
"04/08/2022","80","Ozone","Hayward","06-001-2001","AQS"
"04/09/2022","58","PM2.5","Oakland","06-001-0009","AQS"
"04/10/2022","41","Ozone","Livermore","06-001-0007","AQS"
"04/11/2022","62","PM2.5","San Pablo","06-013-1004","AQS"
"04/12/2022","41","Ozone","Bethel Island","06-013-1002","AQS"
"04/13/2022","44","Ozone","Livermore","06-001-0007","AQS"
"04/14/2022","33","Ozone","Bethel Island","06-013-1002","AQS"
"04/15/2022","39","Ozone","Bethel Island","06-013-1002","AQS"
"04/16/2022","37","Ozone","Livermore","06-001-0007","AQS"
"04/17/2022","44","Ozone","Livermore","06-001-0007","AQS"
"04/18/2022","43","Ozone","Bethel Island","06-013-1002","AQS"
"04/19/2022","44","Ozone","Bethel Island","06-013-1002","AQS"
"04/20/2022","42","Ozone","Bethel Island","06-013-1002","AQS"
"04/21/2022","52","PM2.5","San Pablo","06-013-1004","AQS"
"04/22/2022","42","Ozone","Bethel Island","06-013-1002","AQS"
"04/23/2022","39","Ozone","Bethel Island","06-013-1002","AQS"
"04/24/2022","41","PM2.5","San Pablo","06-013-1004","AQS"
"04/25/2022","56","PM2.5","San Pablo","06-013-1004","AQS"
"04/26/2022","53","PM2.5","Laney College","06-001-0012","AQS"
"04/27/2022","47","Ozone","Bethel Island","06-013-1002","AQS"
"04/28/2022","44","Ozone","Bethel Island","06-013-1002","AQS"
"04/29/2022","46","Ozone","Bethel Island","06-013-1002","AQS"
"04/30/2022","42","Ozone","Hayward","06-001-2001","AQS"
"05/01/2022","46","PM2.5","San Pablo","06-013-1004","AQS"
"05/02/2022","45","Ozone","Bethel Island","06-013-1002","AQS"
"05/03/2022","44","Ozone","Redwood City","06-081-1001","AQS"
"05/04/2022","53","PM2.5","Laney College","06-001-0012","AQS"
"05/05/2022","46","PM2.5","San Pablo","06-013-1004","AQS"
"05/06/2022","57","PM2.5","San Pablo","06-013-1004","AQS"
"05/07/2022","38","Ozone","Redwood City","06-081-1001","AQS"
"05/08/2022","41","Ozone","Bethel Island","06-013-1002","AQS"
"05/09/2022","40","Ozone","Bethel Island","06-013-1002","AQS"
"05/10/2022","38","Ozone","Bethel Island","06-013-1002","AQS"
"05/11/2022","39","Ozone","Bethel Island","06-013-1002","AQS"
"05/12/2022","40","Ozone","Bethel Island","06-013-1002","AQS"
"05/13/2022","36","Ozone","Livermore","06-001-0007","AQS"
"05/14/2022","38","Ozone","Livermore","06-001-0007","AQS"
"05/15/2022","39","Ozone","Bethel Island","06-013-1002","AQS"
"05/16/2022","39","Ozone","Bethel Island","06-013-1002","AQS"
"05/17/2022","53","PM2.5","San Pablo","06-013-1004","AQS"
"05/18/2022","54","PM2.5","Laney College","06-001-0012","AQS"
"05/19/2022","55","PM2.5","Oakland","06-001-0009","AQS"
"05/20/2022","57","PM2.5","Point Reyes NS Ranger Station","06-041-0002","AQS"
"05/21/2022","69","PM2.5","San Pablo","06-013-1004","AQS"
"05/22/2022","64","PM2.5","San Pablo","06-013-1004","AQS"
"05/23/2022","60","PM2.5","San Pablo","06-013-1004","AQS"
"05/24/2022","80","Ozone","Livermore","06-001-0007","AQS"
"05/25/2022","51","PM2.5","Laney College","06-001-0012","AQS"
"05/26/2022","45","Ozone","Livermore","06-001-0007","AQS"
"05/27/2022","43","PM2.5","San Pablo","06-013-1004","AQS"
"05/28/2022","36","PM2.5","San Pablo","06-013-1004","AQS"
"05/29/2022","36","Ozone","Livermore","06-001-0007","AQS"
